Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2020.06.20.a,Jun-2020,Unprovoked,Bahamas,Exuma,"Pig Beach, Pig Island",N,Unknown,Unknown,Unknown,Unknown,"Pig Beach, Pig Island, Exuma, Bahamas","(24.183611, -76.456389)",24.183611,-76.456389
2020.06.16,Jun-2020,Unprovoked,South Africa,KwaZulu-Natal,Umhlanga Rocks,N,14h00,Afternoon,Surfing,Unknown,"Umhlanga Rocks, KwaZulu-Natal, South Africa","(-29.7330347, 31.0592806)",-29.7330347,31.0592806
2020.06.10,Jun-2020,Unprovoked,New Caledonia,South Province,"Plateau de Ricaudy, Nouméa",Y,Afternoon,Afternoon,Surfing,Tiger,"Plateau de Ricaudy, Nouméa, South Province, New Caledonia","(-22.31259001461738, 166.4541394705851)",-22.31259001461738,166.4541394705851
2020.06.07,Jun-2020,Unprovoked,Australia,New South Wales,Kingscliff Beach,Y,10h40,Morning,Surfing,White,"Kingscliff Beach, New South Wales, Australia","(-28.251915, 153.574525)",-28.251915,153.574525
2020.06.06,Jun-2020,Unprovoked,Australia,Western Australia,"Tantabitti Beach, Nigaloo",U,Unknown,Unknown,Unknown,Unknown,"Tantabitti Beach, Nigaloo, Western Australia, Australia","(-22.6896945, 113.6983041)",-22.6896945,113.6983041
2020.06.04,Jun-2020,Not Confirmed,United States,Delaware,"Herring Point, Sussex County",N,13h00,Afternoon,Surfing,Unknown,"Herring Point, Sussex County, Delaware, United States","(38.7638675, -75.082106)",38.7638675,-75.082106
2020.06.01,Jun-2020,Unprovoked,United States,Hawaii,"Davidsons Beach, Kauai",N,08h30,Morning,Surfing,Tiger,"Davidsons Beach, Kauai, Hawaii, United States","(21.9641667, -159.7088889)",21.9641667,-159.7088889
2020.05.31,May-2020,Unprovoked,Bahamas,Abaco Islands,NoName Cay,N,Unknown,Unknown,Fishing,Bull,"NoName Cay, Abaco Islands, Bahamas","(26.3555029, -77.1485163)",26.3555029,-77.1485163
2020.05.30,May-2020,Unprovoked,Australia,Queensland,Lucinda,N,Unknown,Unknown,Fishing,Bull,"Lucinda, Queensland, Australia","(-18.5281508, 146.3314538)",-18.5281508,146.3314538
2020.05.28,May-2020,Unprovoked,Thailand,Mueang Satun District,Chebilang pier,N,Unknown,Unknown,Leisure,Bull,"Chebilang pier, Mueang Satun District, Thailand","(6.701406599999999, 99.95768489999999)",6.701406599999999,99.9576849
2020.05.26b,Jun-2020,Unprovoked,French Polynesia,Tahiti,Vallée Blanche,N,Unknown,Unknown,Diving,Blacktip,"Vallée Blanche, Tahiti, French Polynesia","(-17.6509195, -149.4260421)",-17.6509195,-149.4260421
