Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2010.08.10,Aug-2010,Unprovoked,South Korea,Jeju Province,Jeju Island,N,Late afternoon,Afternoon,Swimming,Unknown,"Jeju Island, Jeju Province, South Korea","(33.4890113, 126.4983023)",33.4890113,126.4983023
2010.08.08,Aug-2010,Unprovoked,Australia,New South Wales,Crescent Head,N,08h00,Morning,Surfing,Unknown,"Crescent Head, New South Wales, Australia","(-31.1769749, 152.9106663)",-31.1769749,152.9106663
2010.08.07.b,Aug-2010,Unprovoked,United States,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",N,15h00,Afternoon,Surfing,Unknown,"Figure Eight Island, Wilmington, New Hanover County, North Carolina, United States","(34.2103894, -77.8868117)",34.2103894,-77.8868117
2010.08.07.a,Aug-2010,Unprovoked,Malta,"Fort St. Elmo, Valetta","Fort St. Elmo, Valetta",N,Unknown,Unknown,Surfing,Unknown,"Fort St. Elmo, Valetta, Fort St. Elmo, Valetta, Malta","(35.9022924, 14.5187533)",35.9022924,14.5187533
2010.08.05,Aug-2010,Not Confirmed,United States,Florida,"Bethune Beach, Volusia County",U,19h15,Evening,Swimming,Unknown,"Bethune Beach, Volusia County, Florida, United States","(28.941441, -80.844768)",28.941441,-80.844768
2010.08.02.b,Aug-2010,Not Confirmed,United States,California,Gaviota State Park Beach & Campground,N,12h40,Afternoon,Rowing,White,"Gaviota State Park Beach & Campground, California, United States","(34.4733557, -120.229478)",34.4733557,-120.229478
2010.08.02.a,Aug-2010,Unprovoked,United States,Florida,"Micklers Landing, St. Johns County",N,11h00,Morning,Surfing,Unknown,"Micklers Landing, St. Johns County, Florida, United States","(30.1615592, -81.35737440000001)",30.1615592,-81.35737440000001
2010.07.25,Jul-2010,Unprovoked,United States,South Carolina,"Isle of Palms, Charleston County",N,Unknown,Unknown,Surfing,Unknown,"Isle of Palms, Charleston County, South Carolina, United States","(32.8194131, -79.7343791)",32.8194131,-79.7343791
2010.07.23,Jul-2010,Unprovoked,United States,Florida,"Jacksonville Beach, Duval County",N,16h30,Afternoon,Surfing,Unknown,"Jacksonville Beach, Duval County, Florida, United States","(30.2841224, -81.3961338)",30.2841224,-81.3961338
2010.07.19,Jul-2010,Unprovoked,United States,South Carolina,Myrtle Beach,N,10h35,Morning,Swimming,Blacktip,"Myrtle Beach, South Carolina, United States","(33.6890603, -78.8866943)",33.6890603,-78.8866943
2010.07.17.b,Jul-2010,Unprovoked,United States,North Carolina,Wrightsville Beach,N,13h30,Afternoon,Swimming,Tiger,"Wrightsville Beach, North Carolina, United States","(34.2085036, -77.7963709)",34.2085036,-77.7963709
2010.07.17.a,Jul-2010,Unprovoked,United States,Florida,New Smyrna Beach,N,Unknown,Unknown,Surfing,Spinner,"New Smyrna Beach, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2010.07.16.b,Jul-2010,Provoked,Spain,Grand Canary Island,"Sardina del Norte, Gáldar",N,19h15,Evening,Swimming,Unknown,"Sardina del Norte, Gáldar, Grand Canary Island, Spain","(28.1516863, -15.6962764)",28.1516863,-15.6962764
2010.07.16.a,Jul-2010,Unprovoked,United States,Texas,Galveston,N,Unknown,Unknown,Fishing,Unknown,"Galveston, Texas, United States","(29.3013479, -94.7976958)",29.3013479,-94.7976958
2010.07.11,Jul-2010,Provoked,United States,Florida,"Lauderdale-by-the-Sea, Broward County",N,Unknown,Unknown,Fishing,Tiger,"Lauderdale-by-the-Sea, Broward County, Florida, United States","(26.192028, -80.0964326)",26.192028,-80.0964326
2010.07.04,Jul-2010,Unprovoked,South Africa,KwaZulu-Natal,Sodwana Bay,N,Unknown,Unknown,Diving,Unknown,"Sodwana Bay, KwaZulu-Natal, South Africa","(-28.5305539, 30.8958242)",-28.5305539,30.8958242
2010.07.03,Jul-2010,Provoked,United States,New York,Long Island,N,12h30,Afternoon,Fishing,Unknown,"Long Island, New York, United States","(40.789142, -73.13496099999999)",40.789142,-73.13496099999999
2010.07.02.b,Jul-2010,Unprovoked,United States,California,"Pismo Beach, San Luis Obispo County",N,Evening,Unknown,Surfing,Unknown,"Pismo Beach, San Luis Obispo County, California, United States","(35.1427533, -120.6412827)",35.1427533,-120.6412827
2010.07.02.a,Jul-2010,Unprovoked,United States,California,"Dog Patch, San Onofre",N,15h15,Afternoon,Surfing,Unknown,"Dog Patch, San Onofre, California, United States","(37.7591221, -122.3895378)",37.7591221,-122.3895378
2010.06.27,Jun-2010,Unprovoked,United States,Texas,"Eight Mile Beach, Galveston",N,Unknown,Unknown,Surfing,Bull,"Eight Mile Beach, Galveston, Texas, United States","(29.2518608, -94.8921296)",29.2518608,-94.8921296
2010.06.25.b,Jun-2010,Unprovoked,United States,South Carolina,Fripp Island,N,Unknown,Unknown,Surfing,Unknown,"Fripp Island, South Carolina, United States","(32.315928, -80.48364409999999)",32.315928,-80.48364409999999
2010.06.25.a,Jun-2010,Unprovoked,United States,North Carolina,"Topsail Island, Pender County",N,13h00,Afternoon,Swimming,Unknown,"Topsail Island, Pender County, North Carolina, United States","(34.4715634, -77.5595068)",34.4715634,-77.5595068
2010.06.15,Jun-2010,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,17h00,Afternoon,Swimming,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2010.06.10,Jun-2010,Unprovoked,United States,Florida,Jacksonville,N,12h30,Afternoon,Surfing,Unknown,"Jacksonville, Florida, United States","(30.3321838, -81.65565099999999)",30.3321838,-81.65565099999999
2010.06.06,Jun-2010,Unprovoked,Australia,Western Australia,Conspicuous Cliff,N,12h00,Afternoon,Surfing,Unknown,"Conspicuous Cliff, Western Australia, Australia","(-35.0394551, 116.8423737)",-35.0394551,116.8423737
2010.06.00,Jun-2010,Unprovoked,United States,Florida,"Ponte Vedra Beach, St Johns County",N,Unknown,Unknown,Surfing,Unknown,"Ponte Vedra Beach, St Johns County, Florida, United States","(30.2400058, -81.3852595)",30.2400058,-81.3852595
2010.05.30,May-2010,Provoked,United States,Florida,Tarpon Springs,N,08h45,Morning,Fishing,Lemon,"Tarpon Springs, Florida, United States","(28.1461248, -82.7567679)",28.1461248,-82.7567679
2010.05.18.c,May-2010,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,18h00,Evening,Unknown,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2010.05.18.b,May-2010,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,18h00,Evening,Swimming,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2010.05.18.a,May-2010,Unprovoked,Australia,New South Wales,Point Plomer,N,16h30,Afternoon,Surfing,Unknown,"Point Plomer, New South Wales, Australia","(-31.2834253, 152.9616427)",-31.2834253,152.9616427
2010.05.03,May-2010,Unprovoked,Madagascar,Antsiranana Province,"Ambatolaoka, Nosy Be Island",N,09h30,Morning,Diving,Unknown,"Ambatolaoka, Nosy Be Island, Antsiranana Province, Madagascar","(-13.3150186, 48.2592606)",-13.3150186,48.2592606
2010.05.01,May-2010,Unprovoked,United States,Florida,New Smyrna Beach,N,10h30,Morning,Wading,Unknown,"New Smyrna Beach, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2010.04.28,Apr-2010,Provoked,United States,Florida,Hanalei Bay,N,Afternoon,Afternoon,Unknown,Lemon,"Hanalei Bay, Florida, United States","(22.2033221, -159.4977455)",22.2033221,-159.4977455
2010.04.19,Apr-2010,Unprovoked,United States,Hawaii,"Hanalei Bay, Kauai",N,16h00,Afternoon,Surfing,Unknown,"Hanalei Bay, Kauai, Hawaii, United States","(22.2090776, -159.5067583)",22.2090776,-159.5067583
2010.04.13,Apr-2010,Unprovoked,South Africa,Eastern Cape Province,"East Beach, Port Alfred",N,10h00,Morning,Surfing,Unknown,"East Beach, Port Alfred, Eastern Cape Province, South Africa","(-33.5977778, 26.9052778)",-33.5977778,26.9052778
2010.04.04,Apr-2010,Unprovoked,Egypt,Sinai Peninsula,Sharm el-Sheikh,N,14h00,Afternoon,Wading,Whitetip,"Sharm el-Sheikh, Sinai Peninsula, Egypt","(27.9654198, 34.3617769)",27.9654198,34.3617769
2010.03.27,Mar-2010,Unprovoked,Reunion,Saint-Benoit,Saint Benoit,N,11h00,Morning,Surfing,Unknown,"Saint Benoit, Saint-Benoit, Reunion","(-21.0341062, 55.7135727)",-21.0341062,55.7135727
2010.02.19,Feb-2010,Unprovoked,New Zealand,South Island,Tahunanui Beach,N,Night,Unknown,Swimming,Unknown,"Tahunanui Beach, South Island, New Zealand","(-41.2785932, 173.2392251)",-41.2785932,173.2392251
2010.02.16,Feb-2010,Unprovoked,South Africa,Eastern Cape Province,Yellow Sands Caravan Park,N,11h00,Morning,Surfing,Unknown,"Yellow Sands Caravan Park, Eastern Cape Province, South Africa","(-32.904325, 28.074338)",-32.904325,28.074338
2010.02.15,Feb-2010,Unprovoked,Fiji,Vanua Levu,Nara Reef,Y,09h30,Morning,Diving,Unknown,"Nara Reef, Vanua Levu, Fiji","(-16.6268225, 179.0179332)",-16.6268225,179.0179332
2010.02.13,Feb-2010,Unprovoked,Australia,Queensland,"Dent Island, Whitsundays",N,13h30,Afternoon,Diving,Unknown,"Dent Island, Whitsundays, Queensland, Australia","(-20.3496288, 148.9320143)",-20.3496288,148.9320143
2010.02.11,Feb-2010,Unprovoked,Australia,New South Wales,"Mona Vale Beach, Sydney",N,08h00,Morning,Surfing,Wobbegong,"Mona Vale Beach, Sydney, New South Wales, Australia","(-33.6795811, 151.3135485)",-33.6795811,151.3135485
2010.02.06.R,Feb-2010,Provoked,New Zealand,South Island,Cosy Nook,N,Unknown,Unknown,Fishing,Unknown,"Cosy Nook, South Island, New Zealand","(-46.3324987, 167.7113238)",-46.3324987,167.7113238
2010.02.06.b,Feb-2010,Unprovoked,Australia,New South Wales,Turners' Beach,N,15h30,Afternoon,Surfing,White,"Turners' Beach, New South Wales, Australia","(-29.4304387, 153.3629052)",-29.4304387,153.3629052
2010.02.06.a,Feb-2010,Provoked,United States,Florida,Riviera Beach,N,15h00,Afternoon,Fishing,Spinner,"Riviera Beach, Florida, United States","(26.7753405, -80.0580969)",26.7753405,-80.0580969
2010.02.04,Feb-2010,Not Confirmed,Guam,Merizo,Achang Reef,U,11h00,Morning,Diving,Unknown,"Achang Reef, Merizo, Guam","(13.2681628, 144.6917883)",13.2681628,144.6917883
2010.02.03,Feb-2010,Unprovoked,United States,Florida,"Stuart, Martin County",Y,15h44,Afternoon,Surfing,Unknown,"Stuart, Martin County, Florida, United States","(27.197548, -80.2528257)",27.197548,-80.2528257
2010.02.01,Feb-2010,Provoked,New Zealand,South Island,Oreti Beach,N,18h30,Evening,Surfing,Unknown,"Oreti Beach, South Island, New Zealand","(-46.4369169, 168.2448936)",-46.4369169,168.2448936
2010.01.30,Jan-2010,Unprovoked,Brazil,Rio Grande Do Sul,Tramandai,N,Unknown,Unknown,Surfing,Unknown,"Tramandai, Rio Grande Do Sul, Brazil","(-29.9838184, -50.1343012)",-29.9838184,-50.1343012
2010.01.27,Jan-2010,Unprovoked,Australia,Queensland,Archies Beach Lookout,N,16h30,Afternoon,Surfing,Unknown,"Archies Beach Lookout, Queensland, Australia","(-24.8290906, 152.4673555)",-24.8290906,152.4673555
2010.01.22.b,Jan-2010,Unprovoked,United Arab Emirates,Dubai,"Umm Suqeim Beach, Dubai",N,Evening,Unknown,Surfing,Unknown,"Umm Suqeim Beach, Dubai, Dubai, United Arab Emirates","(25.1483286, 55.1945091)",25.1483286,55.1945091
2010.01.22.a,Jan-2010,Unprovoked,Australia,Victoria,Geelong,N,07h30,Morning,Surfing,Unknown,"Geelong, Victoria, Australia","(-38.1492994, 144.3598426)",-38.1492994,144.3598426
2010.01.12,Jan-2010,Unprovoked,South Africa,Western Province,Fish Hoek Beach,Y,15h15,Afternoon,Surfing,White,"Fish Hoek Beach, Western Province, South Africa","(-34.137641, 18.4337248)",-34.137641,18.4337248
2010.01.09.d,Jan-2010,Unprovoked,Australia,Torres Strait,Thursday Island,N,Unknown,Unknown,Diving,Whitetip,"Thursday Island, Torres Strait, Australia","(-10.5802361, 142.2210964)",-10.5802361,142.2210964
2010.01.09.c,Jan-2010,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,Unknown,Unknown,Unknown,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2010.01.09.b,Jan-2010,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,17h00,Afternoon,Unknown,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2010.01.09.a,Jan-2010,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,06h45,Morning,Leisure,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2010.01.06,Jan-2010,Unprovoked,United States,Florida,Elliot Key,N,10h15,Morning,Fishing,Unknown,"Elliot Key, Florida, United States","(25.4396585, -80.2000596)",25.4396585,-80.2000596
2010.01.05,Jan-2010,Unprovoked,South Africa,Eastern Province,"Nahoon, East London",N,Unknown,Unknown,Surfing,Unknown,"Nahoon, East London, Eastern Province, South Africa","(-32.9869161, 27.9380809)",-32.9869161,27.9380809
2009.12.29,Dec-2009,Unprovoked,South Africa,Eastern Cape Province,Port Alfred,N,08h30,Morning,Wading,Unknown,"Port Alfred, Eastern Cape Province, South Africa","(-33.5864065, 26.8851448)",-33.5864065,26.8851448
2009.12.26,Dec-2009,Provoked,Australia,New South Wales,Avoca Beach,N,11h00,Morning,Swimming,Unknown,"Avoca Beach, New South Wales, Australia","(-33.47198350000001, 151.4279522)",-33.47198350000001,151.4279522
2009.12.22,Dec-2009,Unprovoked,Mozambique,Maputo Province,Ponta do Ouro,N,16h30,Afternoon,Swimming,Bull,"Ponta do Ouro, Maputo Province, Mozambique","(-26.8427388, 32.8859972)",-26.8427388,32.8859972
2009.12.20.b,Dec-2009,Not Confirmed,Australia,Queensland,Mudjimba Island,N,11h00,Morning,Rowing,Unknown,"Mudjimba Island, Queensland, Australia","(-26.6146347, 153.1144871)",-26.6146347,153.1144871
2009.12.20.a,Dec-2009,Unprovoked,Australia,Queensland,Lamont Reef,N,07h30,Morning,Fishing,Bull,"Lamont Reef, Queensland, Australia","(-23.59855848173636, 152.0282455391469)",-23.59855848173636,152.0282455391469
2009.12.18b,Dec-2009,Not Confirmed,South Africa,KwaZulu-Natal,"North Beach, Durban",U,Unknown,Unknown,Surfing,Unknown,"North Beach, Durban, KwaZulu-Natal, South Africa","(-29.8475749, 31.0349434)",-29.8475749,31.0349434
2009.12.18,Dec-2009,Unprovoked,South Africa,Eastern Cape Province,"Second Beach, Port St. Johns",Y,14h30,Afternoon,Surfing,Unknown,"Second Beach, Port St. Johns, Eastern Cape Province, South Africa","(-31.6409371, 29.5299196)",-31.6409371,29.5299196
2009.12.16,Dec-2009,Unprovoked,New Zealand,South Island,Clark Island,Y,Unknown,Unknown,Rowing,White,"Clark Island, South Island, New Zealand","(-45.15267069999999, 169.8926333)",-45.15267069999999,169.8926333
2009.12.13,Dec-2009,Unprovoked,Australia,New South Wales,Evans Head,N,07h00,Morning,Surfing,Unknown,"Evans Head, New South Wales, Australia","(-29.1188889, 153.4315059)",-29.1188889,153.4315059
2009.12.12,Dec-2009,Not Confirmed,Australia,New South Wales,Hawks Nest Beach,N,07h30,Morning,Rowing,White,"Hawks Nest Beach, New South Wales, Australia","(-32.6727562, 152.1773011)",-32.6727562,152.1773011
2009.12.06,Dec-2009,Provoked,United States,New Jersey,"Adventure Aquarium, Camden",N,13h00,Afternoon,Diving,Tiger,"Adventure Aquarium, Camden, New Jersey, United States","(39.9460868, -75.1311712)",39.9460868,-75.1311712
2009.11.25,Nov-2009,Not Confirmed,United States,California,"Huntington Beach, Orange County",U,15h30,Afternoon,Surfing,Unknown,"Huntington Beach, Orange County, California, United States","(33.6594835, -117.9988026)",33.6594835,-117.9988026
2009.11.24,Nov-2009,Unprovoked,United States,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",N,Morning,Unknown,Wading,Unknown,"Lori Wilson Park, Cocoa Beach, Brevard County, Florida, United States","(28.3371416, -80.60948499999999)",28.3371416,-80.60948499999999
2009.11.16.b,Nov-2009,Unprovoked,United States,California,"Loch Lomond, Marin County",N,16h45,Afternoon,Fishing,Unknown,"Loch Lomond, Marin County, California, United States","(37.9736887, -122.4814827)",37.9736887,-122.4814827
2009.11.16.a,Nov-2009,Unprovoked,United States,Florida,"Jupiter, Palm Beach County",N,09h30,Morning,Surfing,Unknown,"Jupiter, Palm Beach County, Florida, United States","(26.9342246, -80.0942087)",26.9342246,-80.0942087
2009.11.13,Nov-2009,Unprovoked,United States,Florida,"Jupiter, Palm Beach County",N,16h30,Afternoon,Surfing,Unknown,"Jupiter, Palm Beach County, Florida, United States","(26.9342246, -80.0942087)",26.9342246,-80.0942087
2009.11.11,Nov-2009,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,Afternoon,Afternoon,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2009.11.08,Nov-2009,Unprovoked,Australia,South Australia,Second Valley,N,10h30,Morning,Rowing,Unknown,"Second Valley, South Australia, Australia","(-35.5280516, 138.2278711)",-35.5280516,138.2278711
2009.11.05,Nov-2009,Unprovoked,United States,California,"Davenport, Santa Cruz County",N,Dusk,Unknown,Surfing,Unknown,"Davenport, Santa Cruz County, California, United States","(37.01352079999999, -122.1966597)",37.01352079999999,-122.1966597
2009.10.30,Oct-2009,Not Confirmed,Australia,Victoria,Portland,N,Morning,Unknown,Rowing,White,"Portland, Victoria, Australia","(-38.3380167, 141.6041331)",-38.3380167,141.6041331
2009.10.29.R,Oct-2009,Unprovoked,Mozambique,Inhambane Province,Vilanculo,N,Unknown,Unknown,Fishing,Bull,"Vilanculo, Inhambane Province, Mozambique","(-21.9997305, 35.3191889)",-21.9997305,35.3191889
2009.10.28,Oct-2009,Unprovoked,Australia,New South Wales,Lennox Heads,N,07h00,Morning,Surfing,Unknown,"Lennox Heads, New South Wales, Australia","(-28.8012924, 153.5924871)",-28.8012924,153.5924871
2009.10.24,Oct-2009,Unprovoked,United States,California,"San Onofre, San Diego County",N,17h30,Afternoon,Surfing,Unknown,"San Onofre, San Diego County, California, United States","(33.3728077, -117.5656012)",33.3728077,-117.5656012
2009.10.19,Oct-2009,Unprovoked,United States,Hawaii,"Kalama Park, Maui",N,06h00,Morning,Surfing,Unknown,"Kalama Park, Maui, Hawaii, United States","(20.7314382, -156.4529327)",20.7314382,-156.4529327
2009.10.18,Oct-2009,Unprovoked,Panama,Bocas,Playa La Cabaña,N,18h30,Evening,Wading,Unknown,"Playa La Cabaña, Bocas, Panama","(9.3577931, -82.2610457)",9.3577931,-82.2610457
2009.10.17,Oct-2009,Provoked,Scotland,Fife,Deep Sea World Aquarium,N,14h45,Afternoon,Diving,Unknown,"Deep Sea World Aquarium, Fife, Scotland","(56.00824, -3.391282)",56.00824,-3.391282
2009.10.14.R,Oct-2009,Unprovoked,Australia,Western Australia,Western Australia,N,Unknown,Unknown,Diving,Bull,"Western Australia, Western Australia, Australia","(-34.8741198,150.6004709)",-34.8741198,150.6004709
2009.10.09,Oct-2009,Unprovoked,United States,California,"San Onofre State Beach, San Diego County",N,11h00,Morning,Surfing,Unknown,"San Onofre State Beach, San Diego County, California, United States","(33.3728077, -117.5656012)",33.3728077,-117.5656012
2009.10.02,Oct-2009,Provoked,United Kingdom,Devon,Mewstone Rock,N,12h50,Afternoon,Fishing,Unknown,"Mewstone Rock, Devon, United Kingdom","(50.3077534, -4.1066904)",50.3077534,-4.1066904
2009.09.26,Sep-2009,Unprovoked,United States,Florida,"Key Colony Beach, Monroe County",N,17h30,Afternoon,Swimming,Bull,"Key Colony Beach, Monroe County, Florida, United States","(24.7209744, -81.0186827)",24.7209744,-81.0186827
2009.09.18,Sep-2009,Unprovoked,Vietnam,Vietnam,Vietnam,N,Unknown,Unknown,Unknown,Unknown,"Vietnam, Vietnam, Vietnam","(14.058324, 108.277199)",14.058324,108.277199
2009.09.15,Sep-2009,Provoked,Somalia,Somalia,Somalia,N,Unknown,Unknown,Fishing,Unknown,"Somalia, Somalia, Somalia","(5.152149, 46.199616)",5.152149,46.199616
2009.09.13,Sep-2009,Provoked,Brazil,Pernambuco,"Piedade, Recife",Y,Unknown,Unknown,Unknown,Unknown,"Piedade, Recife, Pernambuco, Brazil","(-8.1801557, -34.9203383)",-8.1801557,-34.9203383
2009.09.12,Sep-2009,Not Confirmed,United States,North Carolina,"Corolla, Currituck County",Y,21h00,Evening,Swimming,Unknown,"Corolla, Currituck County, North Carolina, United States","(36.3802879, -75.8307777)",36.3802879,-75.8307777
2009.09.07,Sep-2009,Unprovoked,Brazil,Pernambuco,"Piedade, Recife",Y,Afternoon,Afternoon,Swimming,Unknown,"Piedade, Recife, Pernambuco, Brazil","(-8.1801557, -34.9203383)",-8.1801557,-34.9203383
2009.09.02,Sep-2009,Not Confirmed,Nevis,Castle Beach,Castle Beach,U,Unknown,Unknown,Swimming,Unknown,"Castle Beach, Castle Beach, Nevis","(17.1553558, -62.57960259999999)",17.1553558,-62.57960259999999
2009.09.01,Sep-2009,Provoked,Solomon Islands,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",N,Unknown,Unknown,Fishing,Unknown,"Kirakira, Makira Island (formerly San Cristobal), Makira-Ulawa Province, Solomon Islands","(-10.4558259, 161.9187146)",-10.4558259,161.9187146
2009.08.30,Aug-2009,Unprovoked,United States,California,"Huntington Beach, Orange County",N,18h30,Evening,Surfing,Unknown,"Huntington Beach, Orange County, California, United States","(33.6594835, -117.9988026)",33.6594835,-117.9988026
2009.08.29,Aug-2009,Unprovoked,South Africa,Western Cape Province,Glentana,Y,15h30,Afternoon,Surfing,White,"Glentana, Western Cape Province, South Africa","(-34.0476576, 22.3144043)",-34.0476576,22.3144043
2009.08.25,Aug-2009,Unprovoked,United States,California,"Terramar Beach, Carlsbad, San Diego County",N,16h30,Afternoon,Swimming,White,"Terramar Beach, Carlsbad, San Diego County, California, United States","(33.1280924, -117.3336884)",33.1280924,-117.3336884
2009.08.11,Aug-2009,Unprovoked,South Africa,KwaZulu-Natal,Alkantstrand,N,Lunchtime,Unknown,Surfing,White,"Alkantstrand, KwaZulu-Natal, South Africa","(-28.8011111, 32.0961111)",-28.8011111,32.0961111
2009.08.10,Aug-2009,Unprovoked,United States,Florida,"Ponce, Volusia County",N,19h00,Evening,Swimming,Unknown,"Ponce, Volusia County, Florida, United States","(29.0279842, -81.0754657)",29.0279842,-81.0754657
2009.08.06,Aug-2009,Unprovoked,United States,Hawaii,Kawa'a,N,08h45,Morning,Surfing,Tiger,"Kawa'a, Hawaii, United States","(21.5572221, -157.8536111)",21.5572221,-157.8536111
2009.08.01,Aug-2009,Unprovoked,United States,Louisiana,"Curlew Island, Breton Sound",N,10h00,Morning,Fishing,Bull,"Curlew Island, Breton Sound, Louisiana, United States","(29.5007664, -89.2506046)",29.5007664,-89.2506046
2009.07.31,Jul-2009,Unprovoked,Bahamas,Abaco Islands,Spanish Cay,N,Unknown,Unknown,Fishing,Bull,"Spanish Cay, Abaco Islands, Bahamas","(26.9408454, -77.5268296)",26.9408454,-77.5268296
2009.07.30,Jul-2009,Unprovoked,Australia,New South Wales,Broken Head,N,06h15,Morning,Surfing,Unknown,"Broken Head, New South Wales, Australia","(-28.7108362, 153.5936066)",-28.7108362,153.5936066
2009.07.29,Jul-2009,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,17h30,Afternoon,Swimming,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2009.07.24.R,Jul-2009,Unprovoked,Kenya,Mombasa,Likoni Channel,Y,Unknown,Unknown,Unknown,Unknown,"Likoni Channel, Mombasa, Kenya","(-4.0840986, 39.6608103)",-4.0840986,39.6608103
2009.07.24.b,Jul-2009,Unprovoked,United States,Texas,South Padre Island,N,Afternoon,Afternoon,Wading,Unknown,"South Padre Island, Texas, United States","(26.1118401, -97.16812569999999)",26.1118401,-97.1681257
2009.07.24.a,Jul-2009,Not Confirmed,Spain,Catalunya,Sant Salvador,U,10h15,Morning,Swimming,Unknown,"Sant Salvador, Catalunya, Spain","(41.1853175, 1.5402841)",41.1853175,1.5402841
2009.07.22.b,Jul-2009,Unprovoked,United States,North Carolina,Holden Beach. Brunswick County,N,15h00,Afternoon,Swimming,Unknown,"Holden Beach. Brunswick County, North Carolina, United States","(33.9139209, -78.26938849999999)",33.9139209,-78.26938849999999
2009.07.22.a,Jul-2009,Unprovoked,United States,Florida,"Intracoastal Waterway,   St. Petersburg",N,15h00,Afternoon,Swimming,Unknown,"Intracoastal Waterway,   St. Petersburg, Florida, United States","(27.7676008, -82.64029149999999)",27.7676008,-82.64029149999999
2009.07.18,Jul-2009,Unprovoked,Vietnam,Binh Dinh Province,Quy Nhon,N,Unknown,Unknown,Swimming,Unknown,"Quy Nhon, Binh Dinh Province, Vietnam","(13.7829673, 109.2196634)",13.7829673,109.2196634
2009.07.11.b,Jul-2009,Provoked,Bahamas,Bahamas,Bahamas,N,Unknown,Unknown,Fishing,Unknown,"Bahamas, Bahamas, Bahamas","(25.03428, -77.39627999999999)",25.03428,-77.39627999999999
2009.07.11.a,Jul-2009,Unprovoked,United States,California,"San Onofre, San Diego County",N,08h30,Morning,Surfing,Unknown,"San Onofre, San Diego County, California, United States","(33.3728077, -117.5656012)",33.3728077,-117.5656012
2009.07.07,Jul-2009,Unprovoked,South Africa,Western Cape Province,"Jogensfontein, Stilbaai",N,11h15,Morning,Surfing,Unknown,"Jogensfontein, Stilbaai, Western Cape Province, South Africa","(-34.4282507, 21.3292164)",-34.4282507,21.3292164
2009.07.05,Jul-2009,Unprovoked,United States,Florida,"Daytona Beach, Volusia County",N,16h00,Afternoon,Surfing,Unknown,"Daytona Beach, Volusia County, Florida, United States","(29.2108147, -81.0228331)",29.2108147,-81.0228331
2009.07.04,Jul-2009,Provoked,United States,Florida,"Biscayne National Park, Miami",N,15j45,Unknown,Swimming,Tiger,"Biscayne National Park, Miami, Florida, United States","(25.7616798, -80.1917902)",25.7616798,-80.1917902
2009.06.27,Jun-2009,Unprovoked,Australia,New South Wales,"Seven Mile Beach, Gerroa",N,08h45,Morning,Surfing,Copper,"Seven Mile Beach, Gerroa, New South Wales, Australia","(-34.8108163, 150.757935)",-34.8108163,150.757935
2009.06.21,Jun-2009,Not Confirmed,United States,California,"Shell Beach, San Luis Obispo County",U,Unknown,Unknown,Surfing,Unknown,"Shell Beach, San Luis Obispo County, California, United States","(35.1738337, -120.6997858)",35.1738337,-120.6997858
2009.06.16,Jun-2009,Not Confirmed,United States,Florida,"Melbourne Beach, Brevard County",U,17h30,Afternoon,Unknown,Unknown,"Melbourne Beach, Brevard County, Florida, United States","(28.0683496, -80.56033029999999)",28.0683496,-80.56033029999999
2009.06.14.R,Jun-2009,Provoked,Vietnam,Vietnam,Vietnam,N,Unknown,Unknown,Fishing,White,"Vietnam, Vietnam, Vietnam","(14.058324, 108.277199)",14.058324,108.277199
2009.06.02.b,Jun-2009,Unprovoked,Egypt,St. Johns Reef,St. John's Island,N,Unknown,Unknown,Diving,Whitetip,"St. John's Island, St. Johns Reef, Egypt","(26.820553, 30.802498)",26.820553,30.802498
